S_ID,BRANCH,GPA_2,RANK,S_ID ,S_NAME,P_ID,P_NAME,R_NAME,FEE_NAME,S_PARENT,gpamat,gpasci,GPA,GPA_MATCH,GPA_SCI
68066,3,2.98,1,3801109,กีฬาจังหวัดนครศรีธรรมราช,80,นครศรีธรรมราช,S,0,1,3.1,3,3,3.1,3
68073,2,3.07,1,6,ศูนย์บริการการศึกษานอกโรงเรียนอำเภอกาญจนดิษฐ์,84,สุราษฎร์ธานี,S,0,3,2,2.5,3.1,2,2.5
68132,2,2.88,1,80066,โยธินบำรุง,80,นครศรีธรรมราช,S,0,2,1.9,1.96,2.9,1.9,2
68266,0,2.34,0,95015,สตรียะลา,95,ยะลา,S,0,1,2.64,2.51,2.3,2.6,2.5
68310,1,2.53,1,95107,วิทยาลัยเทคนิคยะลา,95,ยะลา,S,0,2,3,2,2.5,3,2
68565,1,2.14,1,70502,สารสิทธิ์พิทยาลัย,70,ราชบุรี,W,0,2,1.43,1.83,2.1,1.4,1.8
69578,0,2.9,1,80118,วิทยาลัยศิลปหัตถกรรมนครศรีธรรมราช,80,นครศรีธรรมราช,S,0,3,3.5,4,2.9,3.5,4
69584,0,2.55,1,80085,มัธยมศึกษาจุฬาภรณ์,80,นครศรีธรรมราช,S,0,1,1,2.12,2.6,1,2.1
69607,0,2.29,1,80075,ศรีธรรมราชศึกษา,80,นครศรีธรรมราช,S,0,1,1,1,2.3,1,1
69630,0,2.63,1,84012,ดอนสักผดุงวิทย์,84,สุราษฎร์ธานี,S,0,1,2.47,1.73,2.6,2.5,1.7
69633,2,3.14,0,90019,นวมินทราชูทิศ ทักษิณ,90,สงขลา,S,0,1,1.45,2,3.1,1.5,2
69657,2,3.39,0,80002,กัลยาณีศรีธรรมราช,80,นครศรีธรรมราช,S,0,2,2.97,3.28,3.4,3,3.3
69709,2,3.26,1,70601,บางแพปฐมพิทยา,70,ราชบุรี,W,0,3,1.1,2.3,3.3,1.1,2.3
69742,3,2.45,0,80002,กัลยาณีศรีธรรมราช,80,นครศรีธรรมราช,S,0,2,1.85,2.62,2.5,1.9,2.6
69737,2,3.36,0,84046,สุราษฎร์ธานี 2,84,สุราษฎร์ธานี,S,0,3,2.85,3.91,3.4,2.9,3.9
69773,2,2.16,1,93017,ป่าพะยอมพิทยาคม,93,พัทลุง,S,0,3,1.25,2.5,2.2,1.3,2.5
69809,1,3.36,1,80075,ศรีธรรมราชศึกษา,80,นครศรีธรรมราช,S,0,2,1.25,1.5,3.4,1.3,1.5
