S_ID,BRANCH,F_ID,F_NAME,GPA,E-GPA,ADMITACADYEAR,ACADYEAR,SEMESTER,RANK,S_NAME,P_NAME,R_NAME,FEE_NAME,ENTRYNAME,S_PARENT
66417,DCA,22,สารสนเทศศาสตร์,2.17,2.23,2559,2563,1,1,ส่งเสริมศาสนาวิทยามูลนิธิ,สงขลา,S,BDA,3,2
66420,DCA,22,สารสนเทศศาสตร์,2.32,2.3,2559,2562,2,1,พรหมคีรีพิทยาคม,นครศรีธรรมราช,S,BDA,3,2
66458,MTA,22,สารสนเทศศาสตร์,2.64,2.67,2559,2563,2,2,หาดใหญ่วิทยาลัยสมบูรณ์กุลกันยา,สงขลา,S,BDA,3,2
66469,MTA,22,สารสนเทศศาสตร์,2.59,2.64,2559,2562,3,1,สระแก้วรัตนวิทย์,นครศรีธรรมราช,S,BDA,3,1
66498,MTA,22,สารสนเทศศาสตร์,2.64,2.3,2559,2562,3,0,วรนารีเฉลิม จังหวัดสงขลา,สงขลา,S,BDA,3,1
66504,MTA,22,สารสนเทศศาสตร์,2.37,3.19,2559,2562,3,1,คลองท่อมราษฎร์รังสรรค์,กระบี่,S,BDA,3,2
66528,ITD,22,สารสนเทศศาสตร์,3.13,2.88,2559,2562,3,0,กัลยาณีศรีธรรมราช,นครศรีธรรมราช,S,BDA,3,3
66533,DCA,22,สารสนเทศศาสตร์,2.24,2.17,2559,2563,1,0,สตรีภูเก็ต,ภูเก็ต,S,BDA,3,1
66539,DCA,22,สารสนเทศศาสตร์,2.67,2.42,2559,2562,3,1,ศรีธรรมราชศึกษา,นครศรีธรรมราช,S,BDA,3,3
66544,MTA,22,สารสนเทศศาสตร์,2.55,2.42,2559,2562,3,2,หาดใหญ่วิทยาลัย,สงขลา,S,BDA,3,2
66584,DCA,22,สารสนเทศศาสตร์,2.23,2.96,2559,2563,2,2,เดชะปัตตนยานุกูล,ปัตตานี,S,BDA,3,2
66670,MTA,22,สารสนเทศศาสตร์,2.33,2.78,2559,2562,3,1,ระโนดวิทยา,สงขลา,S,BDA,14,1
66732,DCM,22,สารสนเทศศาสตร์,3.35,3.31,2559,2562,3,1,วิทยาลัยอาชีวศึกษานครศรีธรรมราช,นครศรีธรรมราช,S,BDA,7,1
66782,DCA,22,สารสนเทศศาสตร์,2.23,2.97,2559,2562,2,1,บ้านแป้นพิทยาคม,ลำพูน,N,BDA,7,1
66789,DCM,22,สารสนเทศศาสตร์,2.42,3.64,2559,2562,3,1,วิทยาลัยอาชีวศึกษาปัตตานี,ปัตตานี,S,BDA,7,3
66800,ITD,22,สารสนเทศศาสตร์,2.53,2.52,2559,2562,3,1,มูลนิธิอาซิซสถาน,ปัตตานี,S,BDA,7,1
66817,ITD,22,สารสนเทศศาสตร์,2.43,2.35,2559,2562,3,1,บ้านนาสาร,สุราษฎร์ธานี,S,BDA,7,2
66825,ITD,22,สารสนเทศศาสตร์,2.76,2.22,2559,2562,3,1,ร่อนพิบูลย์เกียรติวสุนธราภิวัฒก์,นครศรีธรรมราช,S,BDA,7,2
66826,MTA,22,สารสนเทศศาสตร์,2.1,2.46,2559,2562,3,1,เตรียมอุดมศึกษาพัฒนาการ สุราษฎร์ธานี,สุราษฎร์ธานี,S,BDA,7,1
66845,MTA,22,สารสนเทศศาสตร์,2.6,3.59,2559,2562,3,1,วิทยาลัยอาชีวศึกษาสุราษฎร์ธานี,สุราษฎร์ธานี,S,BDA,7,3
66848,MTA,22,สารสนเทศศาสตร์,2.73,2.66,2559,2562,3,1,วิทยาลัยอาชีวะศึกษาภูเก็ต,ภูเก็ต,S,BDA,7,1
66864,MTA,22,สารสนเทศศาสตร์,2.5,2.74,2559,2562,3,2,"ตะกั่วป่า""เสนานุกูล""",พังงา,S,BDA,7,2
