S_ID,BRANCH,GPA,RANK,S_ID,S_NAME,P_ID,P_NAME,R_NAME,FEE_NAME,S_PARENT
70547,0,3.32,1,80066,โยธินบำรุง,80,นครศรีธรรมราช,5,0,1
70557,2,2.81,1,80118,วิทยาลัยศิลปหัตถกรรมนครศรีธรรมราช,80,นครศรีธรรมราช,5,0,3
70558,2,3.14,1,80701,วิทยาลัยเทคนิคนครศรีธรรมราช,80,นครศรีธรรมราช,5,0,1
70571,2,2.47,1,80037,ท่าศาลาประสิทธิ์ศึกษา,80,นครศรีธรรมราช,5,0,1
70595,1,3.23,1,11,อุดมศึกษาพณิชยการ,90,สงขลา,5,0,3
70633,2,2.09,0,95001,คณะราษฎรบำรุง จังหวัดยะลา,95,ยะลา,5,0,3
70643,2,2.74,1,80118,วิทยาลัยศิลปหัตถกรรมนครศรีธรรมราช,80,นครศรีธรรมราช,5,0,1
70645,2,3.11,1,90028,ระโนดวิทยา,90,สงขลา,5,0,1
70662,1,3.78,0,83007,สตรีภูเก็ต,83,ภูเก็ต,5,0,3
70725,3,3.16,1,80701,วิทยาลัยเทคนิคนครศรีธรรมราช,80,นครศรีธรรมราช,5,0,3
70746,2,2.83,0,84046,สุราษฎร์ธานี 2,84,สุราษฎร์ธานี,5,0,0
70777,0,2.34,1,90020,นาทวีวิทยาคม,90,สงขลา,5,0,2
70815,0,2.53,1,80037,ท่าศาลาประสิทธิ์ศึกษา,80,นครศรีธรรมราช,5,0,3
72822,1,2.58,0,1022060232,เบญจมานุสรณ์,22,จันทบุรี,2,0,2
70838,2,2.48,1,80902,วิทยาลัยเทคโนโลยีภาคใต้,80,นครศรีธรรมราช,5,0,3
70859,0,2.85,1,80037,ท่าศาลาประสิทธิ์ศึกษา,80,นครศรีธรรมราช,5,0,3
70864,0,3.19,1,92015,มัธยมวัดควนวิเศษมูลนิธิ,92,ตรัง,5,0,1
70884,1,2.8,0,84046,สุราษฎร์ธานี 2,84,สุราษฎร์ธานี,5,0,1
70916,0,2.23,1,80086,สิชลคุณาธารวิทยา,80,นครศรีธรรมราช,5,0,2
70918,3,2.9,1,80037,ท่าศาลาประสิทธิ์ศึกษา,80,นครศรีธรรมราช,5,0,2
70922,3,2.64,1,80701,วิทยาลัยเทคนิคนครศรีธรรมราช,80,นครศรีธรรมราช,5,0,1
70926,1,2.55,1,84005,เขาพนมแบกศึกษา,84,สุราษฎร์ธานี,5,0,1
70931,2,2.7,1,1082330183,คุระบุรีชัยพัฒนาพิทยาคม,82,พังงา,5,0,2
70957,3,2.41,1,80063,มุสลิมสันติธรรมมูลนิธิ,80,นครศรีธรรมราช,5,0,2
70982,2,3.38,1,80118,วิทยาลัยศิลปหัตถกรรมนครศรีธรรมราช,80,นครศรีธรรมราช,5,0,1
70996,2,3.51,1,80075,ศรีธรรมราชศึกษา,80,นครศรีธรรมราช,5,0,3
71104,2,2.37,1,92601,วิทยาลัยการอาชีพห้วยยอด,92,ตรัง,5,0,1
71150,2,3.27,1,83104,วิทยาลัยอาชีวะศึกษาภูเก็ต,83,ภูเก็ต,5,0,2
71164,2,3.09,1,8.28E+12,ดารุสสาลาม,96,นราธิวาส,5,0,1
71168,0,2.91,1,3,วิทยาลัยเทคโนโลยีสุราษฎร์ธานี,84,สุราษฎร์ธานี,5,0,1
71194,1,2.98,0,80002,กัลยาณีศรีธรรมราช,80,นครศรีธรรมราช,5,0,1
71204,2,2.96,1,80075,ศรีธรรมราชศึกษา,80,นครศรีธรรมราช,5,0,1
71314,2,2.85,1,84040,เวียงสระ,84,สุราษฎร์ธานี,5,0,1
71588,0,3.31,0,80002,กัลยาณีศรีธรรมราช,80,นครศรีธรรมราช,5,0,3
71623,0,2.63,0,80002,กัลยาณีศรีธรรมราช,80,นครศรีธรรมราช,5,0,3
72242,0,2.39,0,99840127,เทศบาล 1 (เอ็งเสียงสามัคคี),90,สงขลา,5,0,2
72257,0,2.94,0,90048,หาดใหญ่วิทยาลัย,90,สงขลา,5,0,2
72166,3,3.57,1,80043,ทุ่งใหญ่วิทยาคม,80,นครศรีธรรมราช,5,0,1
72215,3,3.7,1,80087,สิชลประชาสรรค์,80,นครศรีธรรมราช,5,0,2
72272,0,2.49,1,81300103,อัสสัมชัญ นครราชสีมา,30,นครราชสีมา,3,0,1
72284,3,2.77,0,96007,นราธิวาส,96,นราธิวาส,5,0,1
72323,0,3.63,0,99800001,สาธิตเทศบาลวัดเพชรจริก,80,นครศรีธรรมราช,5,0,3
72329,3,2.5,1,77301,ทับสะแกวิทยา,77,ประจวบคีรีขันธ์,6,0,2
72363,2,3.1,1,96026,อัตตัรกียะห์อิสลามียะห์,96,นราธิวาส,5,0,3
73895,2,2.75,1,84047,สุราษฎร์พิทยา,84,สุราษฎร์ธานี,5,1,3
73926,1,2.78,2,82004,ดีบุกพังงาวิทยายน,82,พังงา,5,1,2
73908,0,3.37,0,1080210774,เบญจมราชูทิศ นครศรีธรรมราช,80,นครศรีธรรมราช,5,1,3
73931,2,3.11,1,80037,ท่าศาลาประสิทธิ์ศึกษา,80,นครศรีธรรมราช,5,1,3
73944,0,3.13,1,92015,มัธยมวัดควนวิเศษมูลนิธิ,92,ตรัง,5,1,1
73985,2,2.98,1,84023,บางสวรรค์วิทยาคม,84,สุราษฎร์ธานี,5,1,2
74000,0,3.16,0,1083400060,เฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ ภูเก็ต,83,ภูเก็ต,5,1,1
74015,2,2.71,1,84047,สุราษฎร์พิทยา,84,สุราษฎร์ธานี,5,1,2
74048,2,2.52,1,84103231,เทศบาลบ้านย่านยาว,82,พังงา,5,1,2
73055,0,3.21,0,86015,สอาดเผดิมวิทยา,86,ชุมพร,5,1,3
74059,2,2.71,1,40032002,พลวิทยา,90,สงขลา,5,1,1
74277,0,2.86,0,83007,สตรีภูเก็ต,83,ภูเก็ต,5,1,2
74079,0,2.78,1,80063,มุสลิมสันติธรรมมูลนิธิ,80,นครศรีธรรมราช,5,1,1
74082,2,3.5,1,40032002,พลวิทยา,90,สงขลา,5,1,1
74283,2,2.93,0,1083400060,เฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ ภูเก็ต,83,ภูเก็ต,5,1,2
74112,1,3.33,1,80701,วิทยาลัยเทคนิคนครศรีธรรมราช,80,นครศรีธรรมราช,5,1,2
74136,2,2.96,1,80118,วิทยาลัยศิลปหัตถกรรมนครศรีธรรมราช,80,นครศรีธรรมราช,5,1,3
74160,0,3.08,1,80075,ศรีธรรมราชศึกษา,80,นครศรีธรรมราช,5,1,2
74178,2,3.17,1,96023,สุไหงโก-ลก,96,นราธิวาส,5,1,1
74294,2,3.22,0,80002,กัลยาณีศรีธรรมราช,80,นครศรีธรรมราช,5,1,2
73205,2,2.93,0,82007,"ตะกั่วป่า""เสนานุกูล""",82,พังงา,5,1,3
73209,0,3.61,0,93029,สตรีพัทลุง,93,พัทลุง,5,1,3
74217,3,3.4,0,85004,พิชัยรัตนาคาร,85,ระนอง,5,1,1
74228,2,3.08,0,90026,มหาวชิราวุธ จังหวัดสงขลา,90,สงขลา,5,1,1
74236,3,3.27,1,80075,ศรีธรรมราชศึกษา,80,นครศรีธรรมราช,5,1,1
74241,0,2.65,0,1083400060,เฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ ภูเก็ต,83,ภูเก็ต,5,1,1
74253,2,2.93,1,84023,บางสวรรค์วิทยาคม,84,สุราษฎร์ธานี,5,1,2
73255,2,2.72,0,1083400060,เฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ ภูเก็ต,83,ภูเก็ต,5,1,3
74356,2,3.62,0,1080210774,เบญจมราชูทิศ นครศรีธรรมราช,80,นครศรีธรรมราช,5,1,2
74390,2,2.97,1,84038,เมืองสุราษฎร์ธานี,84,สุราษฎร์ธานี,5,1,2
