S_ID,BRANCH,F_ID,F_NAME,GPA,E82004GPA,ADMITACADYEAR,ACADYEAR,SEMESTER,RANK,S_ID ,S_NAME,P_NAME,R_NAME,FEE_NAME,ENTRYNAME,S_PARENT,LABEL
68051,MTA,22,สารสนเทศศาสตร์,2.18,2.3,2559,2562,3,1,80118,วิทยาลัยศิลปหัตถกรรมนครศรีธรรมราช,นครศรีธรรมราช,S,BDA,7,1,จบ
68066,ITD,22,สารสนเทศศาสตร์,2.98,3.34,2559,2562,3,1,3801109,กีฬาจังหวัดนครศรีธรรมราช,นครศรีธรรมราช,S,BDA,7,1,จบ
68073,MTA,22,สารสนเทศศาสตร์,3.07,2.53,2559,2562,3,1,6,ศูนย์บริการการศึกษานอกโรงเรียนอำเภอกาญจนดิษฐ์,สุราษฎร์ธานี,S,BDA,7,3,จบ
68132,MTA,22,สารสนเทศศาสตร์,2.88,2.3,2559,2562,3,1,80066,โยธินบำรุง,นครศรีธรรมราช,S,BDA,7,2,จบ
68266,DCA,22,สารสนเทศศาสตร์,2.34,2.63,2559,2562,3,0,95015,สตรียะลา,ยะลา,S,BDA,7,1,จบ
68310,DCM,22,สารสนเทศศาสตร์,2.53,2.43,2559,2562,3,1,95107,วิทยาลัยเทคนิคยะลา,ยะลา,S,BDA,7,2,จบ
68565,DCM,22,สารสนเทศศาสตร์,2.14,2.26,2559,2562,3,1,70502,สารสิทธิ์พิทยาลัย,ราชบุรี,W,BDA,7,2,จบ
69578,DCA,22,สารสนเทศศาสตร์,2.9,3.05,2560,2563,2,1,80118,วิทยาลัยศิลปหัตถกรรมนครศรีธรรมราช,นครศรีธรรมราช,S,BDA,5,3,จบ
69584,DCA,22,สารสนเทศศาสตร์,2.55,2.31,2560,2563,3,1,80085,มัธยมศึกษาจุฬาภรณ์,นครศรีธรรมราช,S,BDA,5,1,จบ
69607,DCA,22,สารสนเทศศาสตร์,2.29,1.94,2560,2563,3,1,80075,ศรีธรรมราชศึกษา,นครศรีธรรมราช,S,BDA,5,1,จบ
69630,DCA,22,สารสนเทศศาสตร์,2.63,2.29,2560,2563,2,1,84012,ดอนสักผดุงวิทย์,สุราษฎร์ธานี,S,BDA,5,1,จบ
69633,MTA,22,สารสนเทศศาสตร์,3.14,2.2,2560,2563,2,0,90019,นวมินทราชูทิศ ทักษิณ,สงขลา,S,BDA,5,1,จบ
