SD_ID,BRANCH,F_ID,F_NAME,GPA,ENTRY-GPA,STATUS,ADMITACADYEAR,ACADYEAR,SEMESTER,STUDENTSTATUS.STUDENTSTATUS,S_NAME,S_TYPE,PID,P_NAME,R_NAME,OUTLAY,ENTRYNAME,CHOICENAME,,,,
65995,MTA,22,INFO,2.68,2.86,40,2559,2564,3,40,หาดใหญ่วิทยาลัย 2,โรงเรียนมีชื่อเสียง,90,สงขลา,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"น้อยกว่า 12,500 บาทต่อเดือน",,,,
65996,MTA,22,INFO,3.54,3.6,40,2559,2562,2,40,คันธพิทยาคาร,โรงเรียนทั่วไป,92,ตรัง,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"น้อยกว่า 12,500 บาทต่อเดือน",,,,
65999,MTA,22,INFO,2.17,2.09,40,2559,2563,3,40,นวมินทราชูทิศ ทักษิณ,โรงเรียนมีชื่อเสียง,90,สงขลา,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"12,500-25,000 บาทต่อเดือน",,,,
66013,DCA,22,INFO,2.46,2.56,40,2559,2562,3,40,เฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ ภูเก็ต,โรงเรียนมีชื่อเสียง,83,ภูเก็ต,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"12,500-25,000 บาทต่อเดือน",,,,
66017,MTA,22,INFO,2.97,3.04,40,2559,2562,3,40,ปากพนัง,โรงเรียนทั่วไป,80,นครศรีธรรมราช,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"มากกว่า 25,000 บาทต่อเดือน",,,,
66022,MTA,22,INFO,2.22,2.24,40,2559,2563,1,40,เทพมิตรศึกษา,โรงเรียนทั่วไป,84,สุราษฎร์ธานี,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,ไม่มีรายได้,,,,
66042,DCA,22,INFO,2.22,2.04,40,2559,2562,3,40,เตรียมอุดมศึกษาพัฒนาการ สุราษฎร์ธานี,โรงเรียนทั่วไป,84,สุราษฎร์ธานี,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"มากกว่า 25,000 บาทต่อเดือน",,,,
66055,IT,22,INFO,2.48,2.52,40,2559,2562,3,40,กันตังพิทยากร,โรงเรียนทั่วไป,92,ตรัง,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"น้อยกว่า 12,500 บาทต่อเดือน",,,,
66058,MTA,22,INFO,2.68,2.55,40,2559,2562,2,40,ปากพนัง,โรงเรียนทั่วไป,80,นครศรีธรรมราช,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"น้อยกว่า 12,500 บาทต่อเดือน",,,,
66061,DCM,22,INFO,3.28,2.56,40,2559,2562,3,40,วรนารีเฉลิม จังหวัดสงขลา,โรงเรียนมีชื่อเสียง,90,สงขลา,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"12,500-25,000 บาทต่อเดือน",,,,
66066,DCA,22,INFO,2.31,2.68,40,2559,2562,2,40,พิปูนสังฆรักษ์ประชาอุทิศ,โรงเรียนทั่วไป,80,นครศรีธรรมราช,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"12,500-25,000 บาทต่อเดือน",,,,
66077,IT,22,INFO,2.85,2.32,40,2559,2562,3,40,ขนอมพิทยา,โรงเรียนทั่วไป,80,นครศรีธรรมราช,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"น้อยกว่า 12,500 บาทต่อเดือน",,,,
66089,DCA,22,INFO,2.83,2.99,40,2559,2562,2,40,สิชลคุณาธารวิทยา,โรงเรียนทั่วไป,80,นครศรีธรรมราช,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"น้อยกว่า 12,500 บาทต่อเดือน",,,,
66092,DCA,22,INFO,2.55,2.35,40,2559,2562,2,40,พรหมคีรีพิทยาคม,โรงเรียนทั่วไป,80,นครศรีธรรมราช,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"มากกว่า 25,000 บาทต่อเดือน",,,,
66140,IT,22,INFO,2.05,2.21,40,2559,2562,3,40,เชียรใหญ่,โรงเรียนทั่วไป,80,นครศรีธรรมราช,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"12,500-25,000 บาทต่อเดือน",,,,
66141,DCM,22,INFO,2.49,2.48,40,2559,2563,1,40,พิมานพิทยาสรรค์,โรงเรียนมีชื่อเสียง,91,สตูล,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"มากกว่า 25,000 บาทต่อเดือน",,,,
66156,IT,22,INFO,2.64,2.91,40,2559,2562,3,40,ท่าศิลาบำรุงราษฎร์,โรงเรียนทั่วไป,91,สตูล,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"น้อยกว่า 12,500 บาทต่อเดือน",,,,
66220,DCA,22,INFO,2.43,2.44,40,2559,2562,3,40,ขนอมพิทยา,โรงเรียนทั่วไป,80,นครศรีธรรมราช,ภาคใต้,BDA,โควตา 14 จังหวัดภาคใต้และประจวบคีรีขันธ์,"น้อยกว่า 12,500 บาทต่อเดือน",,,,
